STITCH_CID,CID
CID000010917,10917
CID000000119,119
CID000000137,137
CID000000143,143
CID000006006,6006
CID000149436,149436
CID000444412,444412
CID005280360,5280360
CID005282411,5282411
CID005280363,5280363
CID000000175,175
CID000000187,187
CID000060961,60961
CID000000206,206
CID000066370,66370
CID005280723,5280723
CID006433212,6433212
CID000000222,222
CID000006322,6322
CID000000244,244
CID000000247,247
CID000000271,271
CID000000297,297
CID000005959,5959
CID000221493,221493
CID000449688,449688
CID000000311,311
CID000000312,312
CID000000338,338
CID000006234,6234
CID000000444,444
CID000005757,5757
CID000005780,5780
CID000006251,6251
CID000000564,564
CID000012035,12035
CID000006252,6252
CID000000598,598
CID000000612,612
CID000000679,679
CID000000681,681
CID000005870,5870
CID003001028,3001028
CID000000700,700
CID000000727,727
CID000005961,5961
CID000000750,750
CID000000753,753
CID000000767,767
CID000000772,772
CID000000774,774
CID000000785,785
CID000000813,813
CID000006032,6032
CID000005815,5815
CID000005819,5819
CID000005920,5920
CID000000888,888
CID000000896,896
CID000000923,923
CID000000937,937
CID000000942,942
CID000089594,89594
CID000000946,946
CID000000948,948
CID000439260,439260
CID000000961,961
CID000001003,1003
CID000001046,1046
CID000001054,1054
CID000005768,5768
CID000008549,8549
CID000091429,91429
CID000445354,445354
CID000001084,1084
CID000001125,1125
CID000044257,44257
CID000001130,1130
CID000159269,159269
CID000010836,10836
CID000156391,156391
CID000020279,20279
CID000031703,31703
CID000032874,32874
CID000041867,41867
CID000001727,1727
CID000001775,1775
CID000004100,4100
CID000009444,9444
CID000016923,16923
CID000065139,65139
CID000441300,441300
CID005280965,5280965
CID005386092,5386092
CID000001978,1978
CID000001983,1983
CID000001986,1986
CID000001990,1990
CID000001993,1993
CID000002019,2019
CID000015541,15541
CID000002022,2022
CID000002082,2082
CID000002083,2083
CID000123600,123600
CID000636374,636374
CID000002088,2088
CID000002092,2092
CID000002094,2094
CID000002099,2099
CID000002118,2118
CID000002123,2123
CID000002130,2130
CID000443958,443958
CID000002140,2140
CID000002141,2141
CID000037768,37768
CID000002145,2145
CID000002148,2148
CID000002153,2153
CID000002156,2156
CID000002159,2159
CID000002160,2160
CID000002161,2161
CID000002162,2162
CID000002163,2163
CID000054259,54259
CID000002170,2170
CID000033613,33613
CID000006249,6249
CID000065016,65016
CID000002179,2179
CID000002182,2182
CID000002187,2187
CID000006005,6005
CID000002216,2216
CID000092721,92721
CID000002244,2244
CID000002249,2249
CID000060822,60822
CID000002265,2265
CID000002266,2266
CID000002267,2267
CID000447043,447043
CID005742832,5742832
CID000002284,2284
CID000021700,21700
CID000020469,20469
CID005362123,5362123
CID000002315,2315
CID000002337,2337
CID000002341,2341
CID000006832,6832
CID000002345,2345
CID000002349,2349
CID000005904,5904
CID000164522,164522
CID000002351,2351
CID000002366,2366
CID000009400,9400
CID000002369,2369
CID000060656,60656
CID000002370,2370
CID000002375,2375
CID000002391,2391
CID000002405,2405
CID000002431,2431
CID000002435,2435
CID000002441,2441
CID000002442,2442
CID000031100,31100
CID000002462,2462
CID005281004,5281004
CID000002471,2471
CID000002474,2474
CID000092253,92253
CID006321408,6321408
CID000002477,2477
CID000002478,2478
CID000002479,2479
CID000002484,2484
CID005361092,5361092
CID000054746,54746
CID000002519,2519
CID000002520,2520
CID005288783,5288783
CID006436131,6436131
CID005280453,5280453
CID000002540,2540
CID000002541,2541
CID003032400,3032400
CID001548943,1548943
CID000044093,44093
CID000002551,2551
CID000002554,2554
CID000020824,20824
CID000034359,34359
CID000002564,2564
CID000002576,2576
CID000002578,2578
CID000002583,2583
CID000002585,2585
CID000051038,51038
CID000002610,2610
CID000047964,47964
CID000002617,2617
CID000033255,33255
CID005479537,5479537
CID005742673,5742673
CID006540461,6540461
CID000441199,441199
CID005281006,5281006
CID005362051,5362051
CID005481173,5481173
CID005282241,5282241
CID006533629,6533629
CID005479530,5479530
CID005479529,5479529
CID000002662,2662
CID000002663,2663
CID000027447,27447
CID005362065,5362065
CID006321411,6321411
CID000446156,446156
CID000002678,2678
CID001548999,1548999
CID000083898,83898
CID000002708,2708
CID000002712,2712
CID009552079,9552079
CID000002719,2719
CID000002720,2720
CID000002725,2725
CID000033036,33036
CID000002726,2726
CID000002727,2727
CID000002732,2732
CID000002733,2733
CID000002749,2749
CID000056329,56329
CID000002754,2754
CID000002756,2756
CID000002762,2762
CID000002764,2764
CID000002767,2767
CID000002771,2771
CID000146570,146570
CID000026986,26986
CID000029029,29029
CID000002789,2789
CID000032798,32798
CID000071386,71386
CID000002794,2794
CID001548952,1548952
CID001548954,1548954
CID000002801,2801
CID000002802,2802
CID000002803,2803
CID000060606,60606
CID000002809,2809
CID000002812,2812
CID000002818,2818
CID000446220,446220
CID005284371,5284371
CID000006167,6167
CID000002881,2881
CID000688020,688020
CID005311498,5311498
CID000002895,2895
CID000002905,2905
CID000002907,2907
CID005280754,5280754
CID000002913,2913
CID000009880,9880
CID000028417,28417
CID006604100,6604100
CID000002955,2955
CID000030323,30323
CID000002972,2972
CID000002973,2973
CID000016078,16078
CID000002995,2995
CID000009793,9793
CID005311067,5311067
CID000005743,5743
CID000009782,9782
CID000003007,3007
CID000005825,5825
CID005360696,5360696
CID000003009,3009
CID005284537,5284537
CID000003016,3016
CID000003019,3019
CID000003032,3032
CID000003038,3038
CID000018381,18381
CID000003042,3042
CID000003043,3043
CID000050599,50599
CID000003053,3053
CID000071414,71414
CID000003059,3059
CID000443936,443936
CID002724385,2724385
CID005284543,5284543
CID000010531,10531
CID000039186,39186
CID000003080,3080
CID000003100,3100
CID000003105,3105
CID000003108,3108
CID000003114,3114
CID000003117,3117
CID000003121,3121
CID000441350,441350
CID000064780,64780
CID000148123,148123
CID014476155,14476155
CID000003151,3151
CID000003152,3152
CID000003154,3154
CID005284549,5284549
CID005282425,5282425
CID000003156,3156
CID000003157,3157
CID000003158,3158
CID000667477,667477
CID000003168,3168
CID000092974,92974
CID000003182,3182
CID000003198,3198
CID000108150,108150
CID000003202,3202
CID000064139,64139
CID000446284,446284
CID000003219,3219
CID005388961,5388961
CID000003226,3226
CID000003241,3241
CID005280793,5280793
CID000443884,443884
CID000008223,8223
CID000008233,8233
CID000012560,12560
CID000443953,443953
CID000003261,3261
CID000009403,9403
CID000013791,13791
CID000040291,40291
CID000259329,259329
CID000005756,5756
CID000003278,3278
CID000003279,3279
CID000014051,14051
CID000003291,3291
CID000003292,3292
CID000003305,3305
CID000003308,3308
CID000036462,36462
CID000003324,3324
CID005702160,5702160
CID000003331,3331
CID000003333,3333
CID000003339,3339
CID000003340,3340
CID000003342,3342
CID000003345,3345
CID000003348,3348
CID000057363,57363
CID000003354,3354
CID000003355,3355
CID000005790,5790
CID000003364,3364
CID000021319,21319
CID000003365,3365
CID000003366,3366
CID000657237,657237
CID000030751,30751
CID000225609,225609
CID000003372,3372
CID000003373,3373
CID000071415,71415
CID000082153,82153
CID000003380,3380
CID000006215,6215
CID000009642,9642
CID000009878,9878
CID000003385,3385
CID000003386,3386
CID000006446,6446
CID000003388,3388
CID000015209,15209
CID000003393,3393
CID000003394,3394
CID000003397,3397
CID000444036,444036
CID000446155,446155
CID005324345,5324345
CID000006037,6037
CID000003406,3406
CID000003410,3410
CID003034756,3034756
CID003083544,3083544
CID000003414,3414
CID000073491,73491
CID000055891,55891
CID006708482,6708482
CID005352062,5352062
CID000003440,3440
CID003000226,3000226
CID003032525,3032525
CID000003446,3446
CID000009651,9651
CID000003454,3454
CID000060749,60749
CID006434870,6434870
CID000003463,3463
CID000003467,3467
CID000003475,3475
CID000003476,3476
CID000003478,3478
CID000003488,3488
CID000003494,3494
CID000003510,3510
CID005284566,5284566
CID000441140,441140
CID000003516,3516
CID000003517,3517
CID000003519,3519
CID000003520,3520
CID000018342,18342
CID000443943,443943
CID000003559,3559
CID000003598,3598
CID000003623,3623
CID005282593,5282593
CID000009003,9003
CID000003637,3637
CID000003639,3639
CID000005754,5754
CID000026133,26133
CID000003647,3647
CID005284570,5284570
CID000003652,3652
CID000003657,3657
CID000003658,3658
CID000003661,3661
CID000154417,154417
CID000174174,174174
CID000003672,3672
CID000003675,3675
CID000003676,3676
CID000042593,42593
CID000042890,42890
CID000005905,5905
CID000003690,3690
CID000003696,3696
CID000003702,3702
CID005362440,5362440
CID000003715,3715
CID000003724,3724
CID000003730,3730
CID000065492,65492
CID000003736,3736
CID000003737,3737
CID000003738,3738
CID000003739,3739
CID000003741,3741
CID000003742,3742
CID000003743,3743
CID000003746,3746
CID000043232,43232
CID000003749,3749
CID000060837,60837
CID000003759,3759
CID000003763,3763
CID000003767,3767
CID005282175,5282175
CID000003779,3779
CID000006883,6883
CID000003783,3783
CID000003784,3784
CID000055283,55283
CID000003821,3821
CID000456201,456201
CID000003825,3825
CID000003826,3826
CID000003827,3827
CID000003830,3830
CID000003848,3848
CID000003869,3869
CID000011333,11333
CID000060825,60825
CID000003878,3878
CID000003883,3883
CID009578005,9578005
CID005282380,5282380
CID005311221,5311221
CID000003899,3899
CID000003902,3902
CID000657180,657180
CID000039468,39468
CID000054384,54384
CID000072286,72286
CID005359272,5359272
CID000064710,64710
CID000441401,441401
CID005362118,5362118
CID000028864,28864
CID000003939,3939
CID000003948,3948
CID000003950,3950
CID000003954,3954
CID000003957,3957
CID000003958,3958
CID000003961,3961
CID000053232,53232
CID000003964,3964
CID000003998,3998
CID000004004,4004
CID000004011,4011
CID000004030,4030
CID000004031,4031
CID000004032,4032
CID000004033,4033
CID000004034,4034
CID000004036,4036
CID000006279,6279
CID000247839,247839
CID000004044,4044
CID000040692,40692
CID000011683,11683
CID000004051,4051
CID000460612,460612
CID000004054,4054
CID000004057,4057
CID000004058,4058
CID000004060,4060
CID000004062,4062
CID000004064,4064
CID000004075,4075
CID000004086,4086
CID000004091,4091
CID000004095,4095
CID000004101,4101
CID000004107,4107
CID000126941,126941
CID000004114,4114
CID000004120,4120
CID049800046,49800046
CID000004121,4121
CID000038852,38852
CID000004139,4139
CID000008226,8226
CID000004158,4158
CID000154100,154100
CID000006741,6741
CID000006010,6010
CID000009681,9681
CID000004168,4168
CID000004170,4170
CID000004171,4171
CID000004173,4173
CID000004174,4174
CID000004178,4178
CID000004184,4184
CID000004189,4189
CID000004192,4192
CID000004195,4195
CID000055245,55245
CID000004197,4197
CID000004201,4201
CID000004205,4205
CID000004211,4211
CID000004212,4212
CID000004235,4235
CID000004236,4236
CID009690109,9690109
CID000055188,55188
CID000441336,441336
CID005281040,5281040
CID000004253,4253
CID005288826,5288826
CID000101526,101526
CID000446596,446596
CID005281078,5281078
CID000446541,446541
CID000004274,4274
CID000004409,4409
CID000039147,39147
CID005311304,5311304
CID000004421,4421
CID005284594,5284594
CID005284596,5284596
CID005360515,5360515
CID000009677,9677
CID000004436,4436
CID000004440,4440
CID000060026,60026
CID005311309,5311309
CID000004449,4449
CID000004450,4450
CID000064142,64142
CID000004454,4454
CID000008378,8378
CID000004456,4456
CID000004463,4463
CID000004473,4473
CID000004485,4485
CID000004493,4493
CID000004497,4497
CID000004499,4499
CID000004506,4506
CID006604200,6604200
CID000004510,4510
CID003033637,3033637
CID000006230,6230
CID000004539,4539
CID000013109,13109
CID000004543,4543
CID000065981,65981
CID006433272,6433272
CID000004583,4583
CID000149096,149096
CID000004585,4585
CID000004594,4594
CID009579578,9579578
CID000004595,4595
CID003034010,3034010
CID000004601,4601
CID000065028,65028
CID000006196,6196
CID000004609,4609
CID000004614,4614
CID000004616,4616
CID005353853,5353853
CID000004631,4631
CID000004634,4634
CID005284603,5284603
CID005281034,5281034
CID005284604,5284604
CID000004649,4649
CID000441276,441276
CID005352019,5352019
CID000004673,4673
CID000027350,27350
CID000131204,131204
CID000004679,4679
CID000004680,4680
CID000165579,165579
CID000043815,43815
CID000004695,4695
CID000037464,37464
CID000004725,4725
CID000005852,5852
CID000006869,6869
CID000004735,4735
CID000441277,441277
CID000004737,4737
CID000439693,439693
CID000004740,4740
CID000047811,47811
CID000004746,4746
CID000004747,4747
CID000004748,4748
CID000004756,4756
CID000004763,4763
CID000004768,4768
CID000004771,4771
CID000004775,4775
CID000006041,6041
CID000026934,26934
CID000004810,4810
CID000005983,5983
CID005280483,5280483
CID000005909,5909
CID000004828,4828
CID000004829,4829
CID000043672,43672
CID000004845,4845
CID000010607,10607
CID049800003,49800003
CID000004870,4870
CID000119569,119569
CID000054687,54687
CID000004891,4891
CID000004893,4893
CID000005755,5755
CID000005834,5834
CID000004896,4896
CID000005865,5865
CID000004906,4906
CID000004908,4908
CID000004909,4909
CID000004911,4911
CID000004913,4913
CID000004914,4914
CID000004915,4915
CID000004917,4917
CID000005994,5994
CID006178111,6178111
CID000004927,4927
CID000004932,4932
CID000004934,4934
CID000004935,4935
CID000004943,4943
CID000004946,4946
CID000004976,4976
CID000708857,708857
CID000004991,4991
CID000004992,4992
CID000004993,4993
CID000004999,4999
CID000005002,5002
CID000054891,54891
CID000005029,5029
CID000007028,7028
CID000009294,9294
CID000005035,5035
CID005362129,5362129
CID003001055,3001055
CID005284616,5284616
CID005280954,5280954
CID000005770,5770
CID000037542,37542
CID000005070,5070
CID000005071,5071
CID000005073,5073
CID000392622,392622
CID000077990,77990
CID000005078,5078
CID000005090,5090
CID000005095,5095
CID005480431,5480431
CID009567573,9567573
CID000005152,5152
CID000018283,18283
CID000005161,5161
CID000005184,5184
CID002723876,2723876
CID000005193,5193
CID000026757,26757
CID000063009,63009
CID000005206,5206
CID000005210,5210
CID000005212,5212
CID000005214,5214
CID000005215,5215
CID000005238,5238
CID000005245,5245
CID000005248,5248
CID000005253,5253
CID000060464,60464
CID000005833,5833
CID000005291,5291
CID006419957,6419957
CID000029327,29327
CID000005311,5311
CID000005314,5314
CID000005318,5318
CID000005320,5320
CID000005329,5329
CID000005333,5333
CID001548886,1548886
CID000005358,5358
CID000005359,5359
CID000445643,445643
CID006435755,6435755
CID002733525,2733525
CID003032583,3032583
CID000005379,5379
CID000005381,5381
CID000005391,5391
CID000005394,5394
CID000452548,452548
CID000005401,5401
CID001549007,1549007
CID000005403,5403
CID000441383,441383
CID000013769,13769
CID000006013,6013
CID000009416,9416
CID000005995,5995
CID000005411,5411
CID000005419,5419
CID000005426,5426
CID000005430,5430
CID000005452,5452
CID000005453,5453
CID000941650,941650
CID000941651,941651
CID000060648,60648
CID000005468,5468
CID000021844,21844
CID000444008,444008
CID000005472,5472
CID000033624,33624
CID000005479,5479
CID000005483,5483
CID000060946,60946
CID000005487,5487
CID000036294,36294
CID000005503,5503
CID000005505,5505
CID000005508,5508
CID000060774,60774
CID000443878,443878
CID005284627,5284627
